parameter file: params.grmtest
### THE INPUT PARAMETERS
##PARAMETER NAME: VALUE
genotypename: /users/chrchang/wdist/test2.ped
snpname: /users/chrchang/wdist/test2.map
indivname: /users/chrchang/wdist/test2.ped
evecoutname: example.evec
evaloutname: example.eval
altnormstyle: NO
numoutevec: 2
familynames: NO
grmoutname: grmtest
## smartpca version: 10210
norm used

genetic distance set from physical distance
genotype file processed
number of samples used: 1000 number of snps used: 100000
Using 2 threads.
 snp            rs1567310 ignored . allelecnt:     0  missing:     0
 snp            rs1109214 ignored . allelecnt:     0  missing:     0
 snp             rs632138 ignored . allelecnt:     0  missing:     0
 snp             rs477583 ignored . allelecnt:     0  missing:     0
 snp            rs7753365 ignored . allelecnt:     0  missing:     0
 snp            rs2450032 ignored . allelecnt:     0  missing:     0
 snp           rs16936969 ignored . allelecnt:     0  missing:     0
 snp            rs2776473 ignored . allelecnt:     0  missing:     0
 snp            rs4299423 ignored . allelecnt:     0  missing:     0
total number of snps killed in pass: 9  used: 99991

## Tracy-Widom statistics: rows: 1000  cols: 100000
  #N    eigenvalue  difference    twstat      p-value effect. n
   1      9.793717          NA  1749.651            0  9859.256
   2      1.342770   -8.450947     9.240  5.96925e-10 40818.913
   3      1.334404   -0.008366     5.386  9.02485e-06 40919.034
   4      1.332968   -0.001436     5.185  1.46889e-05 41011.425
   5      1.332008   -0.000961     5.236  1.30121e-05 41103.708
   6      1.326475   -0.005532     2.843     0.002305 41196.404
   7      1.322523   -0.003952     1.272    0.0328436 41284.432
   8      1.321525   -0.000998     1.270    0.0329386 41369.504
   9      1.319201   -0.002324     0.556     0.087682 41454.838
  10      1.315952   -0.003249    -0.663     0.318799 41538.964
  11      1.314319   -0.001633    -1.023     0.423282 41620.843
  12      1.313979   -0.000340    -0.690     0.326251 41702.229
  13      1.312392   -0.001588    -1.028     0.424806 41784.546
  14      1.310606   -0.001786    -1.477     0.566499 41866.412
  15      1.309783   -0.000823    -1.409     0.544786 41947.595
  16      1.307002   -0.002781    -2.403     0.827735 42029.161
  17      1.306483   -0.000519    -2.177     0.773583 42108.908
  18      1.303536   -0.002947    -3.271     0.958105 42189.358
  19      1.302487   -0.001050    -3.341     0.963683 42267.771
  20      1.301456   -0.001030    -3.403     0.968036 42346.264
  21      1.300919   -0.000538    -3.196     0.951481 42424.856
  22      1.298185   -0.002733    -4.188     0.995552 42504.107
  23      1.296397   -0.001788    -4.672     0.999059 42581.510
  24      1.295605   -0.000793    -4.615     0.998854 42658.122
  25      1.294780   -0.000824    -4.575     0.998688 42735.069
  26      1.293267   -0.001514    -4.914     0.999613 42812.316
  27      1.291690   -0.001577    -5.292     0.999917 42889.066
  28      1.290054   -0.001636    -5.705     0.999988 42965.236
  29      1.288109   -0.001945    -6.293     0.999999 43040.746
  30      1.287101   -0.001008    -6.369            1 43115.223
  31      1.285517   -0.001584    -6.765            1 43189.743
  32      1.284638   -0.000880    -6.774            1 43263.629
  33      1.283218   -0.001420    -7.083            1 43337.695
  34      1.281697   -0.001520    -7.451            1 43411.303
  35      1.279300   -0.002398    -8.310            1 43484.327
  36      1.278315   -0.000984    -8.390            1 43555.720
  37      1.276915   -0.001401    -8.704            1 43627.130
  38      1.274864   -0.002050    -9.382            1 43698.059
  39      1.274813   -0.000051    -8.950            1 43767.728
  40      1.273943   -0.000870    -8.973            1 43838.495
  41      1.273393   -0.000550    -8.817            1 43909.396
  42      1.270825   -0.002568    -9.792            1 43980.814
  43      1.269595   -0.001230   -10.023            1 44050.322
  44      1.268645   -0.000950   -10.100            1 44119.508
  45      1.267948   -0.000697   -10.036            1 44188.702
  46      1.266176   -0.001772   -10.576            1 44258.208
  47      1.265517   -0.000659   -10.494            1 44326.721
  48      1.265204   -0.000313   -10.217            1 44395.581
  49      1.263998   -0.001207   -10.443            1 44465.215
  50      1.263372   -0.000626   -10.342            1 44534.531
  51      1.263026   -0.000346   -10.083            1 44604.241
  52      1.260965   -0.002060   -10.794            1 44674.695
  53      1.260362   -0.000604   -10.684            1 44743.763
  54      1.259558   -0.000803   -10.687            1 44813.244
  55      1.258952   -0.000606   -10.578            1 44882.891
  56      1.258400   -0.000552   -10.438            1 44952.954
  57      1.257197   -0.001203   -10.669            1 45023.502
  58      1.255353   -0.001844   -11.267            1 45093.713
  59      1.255085   -0.000268   -10.971            1 45162.763
  60      1.253168   -0.001917   -11.615            1 45232.646
  61      1.251634   -0.001534   -12.045            1 45301.260
  62      1.250992   -0.000642   -11.968            1 45369.075
  63      1.249543   -0.001449   -12.354            1 45437.226
  64      1.247575   -0.001968   -13.041            1 45504.674
  65      1.246269   -0.001306   -13.353            1 45570.740
  66      1.245491   -0.000779   -13.365            1 45636.258
  67      1.244747   -0.000743   -13.357            1 45701.902
  68      1.244019   -0.000728   -13.340            1 45767.718
  69      1.242109   -0.001911   -14.006            1 45833.725
  70      1.241450   -0.000659   -13.954            1 45898.376
  71      1.239935   -0.001515   -14.397            1 45963.292
  72      1.239797   -0.000137   -14.047            1 46027.349
  73      1.238216   -0.001582   -14.531            1 46092.350
  74      1.237245   -0.000970   -14.664            1 46156.393
  75      1.235241   -0.002004   -15.400            1 46220.275
  76      1.235159   -0.000082   -15.023            1 46282.620
  77      1.234988   -0.000172   -14.697            1 46345.962
  78      1.233952   -0.001035   -14.871            1 46410.197
  79      1.233371   -0.000582   -14.782            1 46474.173
  80      1.232887   -0.000483   -14.636            1 46538.497
  81      1.232448   -0.000439   -14.463            1 46603.304
  82      1.231106   -0.001342   -14.817            1 46668.661
  83      1.229524   -0.001582   -15.315            1 46733.337
  84      1.229107   -0.000417   -15.134            1 46796.994
  85      1.227960   -0.001146   -15.381            1 46861.215
  86      1.226557   -0.001404   -15.780            1 46924.999
  87      1.225867   -0.000690   -15.763            1 46987.986
  88      1.224835   -0.001032   -15.947            1 47051.149
  89      1.224601   -0.000235   -15.664            1 47114.014
  90      1.223451   -0.001149   -15.918            1 47177.687
  91      1.222259   -0.001192   -16.199            1 47240.894
  92      1.221573   -0.000687   -16.185            1 47303.570
  93      1.220745   -0.000828   -16.254            1 47366.415
  94      1.220226   -0.000519   -16.140            1 47429.229
  95      1.219670   -0.000556   -16.049            1 47492.449
  96      1.219270   -0.000401   -15.865            1 47556.025
  97      1.218191   -0.001079   -16.082            1 47620.183
  98      1.216624   -0.001567   -16.592            1 47683.954
  99      1.215725   -0.000899   -16.709            1 47746.628
 100      1.215126   -0.000598   -16.647            1 47809.153
 101      1.214566   -0.000561   -16.563            1 47871.959
 102      1.213051   -0.001514   -17.048            1 47935.103
 103      1.212306   -0.000746   -17.078            1 47997.198
 104      1.212136   -0.000169   -16.763            1 48059.350
 105      1.211313   -0.000823   -16.838            1 48122.403
 106      1.210556   -0.000756   -16.874            1 48185.406
 107      1.208962   -0.001595   -17.412            1 48248.453
 108      1.208177   -0.000784   -17.469            1 48310.301
 109      1.206891   -0.001286   -17.828            1 48372.137
 110      1.206639   -0.000252   -17.568            1 48433.212
 111      1.205843   -0.000797   -17.634            1 48495.056
 112      1.204950   -0.000892   -17.759            1 48556.861
